ID_BUERGERORT_NEW,ID_PERSON_NEW,ID_PERSON,ORT,DATUM_VON_TAG,DATUM_VON_MONAT,DATUM_VON_JAHR,DATUM_BIS_TAG,DATUM_BIS_MONAT,DATUM_BIS_JAHR
2349_BUERGERORT_1,2349,Steyer_Anny_1921__,,,,,,,
2355_BUERGERORT_1,2355,Schrafl_Anton_1932__,,,,,,,
2408_BUERGERORT_1,2408,Genner_Ruth_1956_01_13,,,,,,,
2409_BUERGERORT_1,2409,Goll_Christine_1956_12_10,Schlatt (ZH),,,,,,
2409_BUERGERORT_2,2409,Goll_Christine_1956_12_10,Laufen,,,,,,
2414_BUERGERORT_1,2414,Hackhofer_Karl_1904_04_10,Hägglingen,,,,,,
2465_BUERGERORT_1,2465,Gatti_Ernst_1881__,,,,,,,
2468_BUERGERORT_1,2468,Schelling_Emil_1876__,,,,,,,
2482_BUERGERORT_1,2482,Täuber_Karl_1867__,,,,,,,
2483_BUERGERORT_1,2483,Baumann_Arnold_1862__,,,,,,,
2512_BUERGERORT_1,2512,Pfleghard_Otto_1869_12_12,St. Gallen,,,,,,
2512_BUERGERORT_2,2512,Pfleghard_Otto_1869_12_12,Steckbornf,,,,,,
2515_BUERGERORT_1,2515,Roth-Ochsner_Johann_1872__,,,,,,,
2516_BUERGERORT_1,2516,Thomann_Albert_1862__,,,,,,,
2518_BUERGERORT_1,2518,Rietmann_Ernst_1870__,,,,,,,
2519_BUERGERORT_2,2519,Wetter_Ernst_1877_08_27,Winterthur,,,1913,10,8,1963
2519_BUERGERORT_1,2519,Wetter_Ernst_1877_08_27,Töss,27,8,1877,,,1922
2539_BUERGERORT_1,2539,Schneider_Karl_1879__,,,,,,,
2540_BUERGERORT_1,2540,Wirth_Werner_1886__,,,,,,,
2542_BUERGERORT_1,2542,Hausammann_Louis_1892__,,,,,,,
2543_BUERGERORT_1,2543,Graf_Otto_1887__,,,,,,,
2544_BUERGERORT_1,2544,Müller_Hermann_1879__,,,,,,,
2553_BUERGERORT_1,2553,Fischbacher_Jakob_1887__,,,,,,,
2556_BUERGERORT_1,2556,Butz_Paul_1888__,,,,,,,
2557_BUERGERORT_1,2557,Eberhard_Konrad_1858__,,,,,,,
2569_BUERGERORT_1,2569,Messmer_Arnold_1889__,,,,,,,
2572_BUERGERORT_1,2572,Hauser_Rudolf_1873__,,,,,,,
2573_BUERGERORT_1,2573,Hafner_Heinrich_1876__,,,,,,,
2574_BUERGERORT_1,2574,Müller_Kaspar_1878__,,,,,,,
2575_BUERGERORT_1,2575,Appenzeller_Albert_1878__,,,,,,,
2576_BUERGERORT_1,2576,Geyer_August_1882__,,,,,,,
2577_BUERGERORT_1,2577,Riedi_Andreas_1866__,,,,,,,
2579_BUERGERORT_1,2579,Gasser_Gotthilf_1877__,,,,,,,
2582_BUERGERORT_1,2582,Bühler_Hans_1889__,,,,,,,
2599_BUERGERORT_1,2599,Altorfer_Huldreich_1911__,,,,,,,
2608_BUERGERORT_1,2608,Toggenburger_Emil_1892__,,,,,,,
2610_BUERGERORT_1,2610,Weidmann_Alfred_1925__,,,,,,,
2645_BUERGERORT_1,2645,Schudel_Max_1894__,,,,,,,
2686_BUERGERORT_1,2686,Beyeler_Walter_1911__,,,,,,,
2688_BUERGERORT_1,2688,Jäckli_Heinrich_1915__,,,,,,,
2701_BUERGERORT_1,2701,Fuchs_Hans_1922__,,,,,,,
2705_BUERGERORT_1,2705,Bloch_Heini_1940__,,,,,,,
