ID_BINDUNG_NEW,ID_PERSON_NEW,ID_PERSON,BINDUNGSKATEGORIE,INSTITUTION,DATUM_VON_TAG,DATUM_VON_MONAT,DATUM_VON_JAHR,DATUM_BIS_TAG,DATUM_BIS_MONAT,DATUM_BIS_JAHR
9908_BINDUNG_1,9908,Wachter_Kaspar_1855__,,,,,,,,
9918_BINDUNG_1,9918,Müller_Jakob_1861__,,,,,,,,
9920_BINDUNG_1,9920,Kessler_Jakob_1867__,,,,,,,,
9921_BINDUNG_1,9921,Peter_Bernhard_1866__,,,,,,,,
9923_BINDUNG_1,9923,Jung_Ernst_1871__,,,,,,,,
9924_BINDUNG_1,9924,Spörri_Engelbert_1857__,,,,,,,,
9930_BINDUNG_1,9930,Schär_Rudolf_1856__,,,,,,,,
9937_BINDUNG_1,9937,Nötzli_Emil_1869__,,,,,,,,
9940_BINDUNG_1,9940,Ott_Jakob_1862__,,,,,,,,
9941_BINDUNG_1,9941,Krauer_Rudolf_1851__,,,,,,,,
9948_BINDUNG_1,9948,Meier_Paul_1863__,Polit. Amt,Gemeinderat Wülflingen,,,,,,
9950_BINDUNG_1,9950,Erb_Jakob_1858__,,,,,,,,
9951_BINDUNG_1,9951,Peter_Paul_1876__,,,,,,,,
9953_BINDUNG_1,9953,Schuler_Wilhelm_1862__,,,,,,,,
9955_BINDUNG_1,9955,Frei_Heinrich_1857__,,,,,,,,
9956_BINDUNG_1,9956,Fehr_Karl_1868__,,,,,,,,
9963_BINDUNG_1,9963,Egli_Hermann_1867__,,,,,,,,
9969_BINDUNG_1,9969,Bantli_Arnold_1877__,,,,,,,,
9982_BINDUNG_1,9982,Möschinger_Johann___,Polit. Amt,Gemeinderat Albisrieden,,,,,,
9988_BINDUNG_1,9988,Vollenweider_Heinrich_1874__,Polit. Amt,Gemeinderat Oberrieden,,,,,,
9989_BINDUNG_1,9989,Kölliker_Oskar_1866__,,,,,,,,
9990_BINDUNG_1,9990,Schäppi_Alwin_1862__,Polit. Amt,Gemeinderat Oberrieden,,,1910,12,2,1915
9996_BINDUNG_1,9996,Moos_Albert_1868__,,,,,,,,
9997_BINDUNG_1,9997,Brätschger_Johannes_1842__,Polit. Amt,Gemeindeammann Freienstein,,,1873,,,
10003_BINDUNG_1,10003,Strehler-Hess_Emil_1853__,,,,,,,,
10006_BINDUNG_1,10006,Hüppy_Johann_1881__,,,,,,,,
10028_BINDUNG_1,10028,Schoch_Adolf_1860__,,,,,,,,
10029_BINDUNG_1,10029,Bockhorn_Rudolf_1856__,,,,,,,,
10084_BINDUNG_1,10084,Zwingli_Jakob_1862__,,,,,,,,
10085_BINDUNG_1,10085,Kupper_Heinrich_1852__,,,,,,,,
10089_BINDUNG_1,10089,Möller_Jakob_1861__,,,,,,,,
10105_BINDUNG_1,10105,Reimann_Konrad_1840__,,,,,,,,
10110_BINDUNG_1,10110,Bosshard_Eduard_1859__,,,,,,,,
10120_BINDUNG_1,10120,Zuber_Johann_Ulrich_1857__,,,,,,,,
10126_BINDUNG_1,10126,Schneiter_Friedrich_1841__,,,,,,,,
10137_BINDUNG_1,10137,Neukomm_Albert_1851__,,,,,,,,
10139_BINDUNG_1,10139,Heller_Emil_1860__,,,,,,,,
10143_BINDUNG_1,10143,Boller_Adolf_1852__,,,,,,,,
10154_BINDUNG_1,10154,Rüegg_Jakob_1838__,,,,,,,,
10173_BINDUNG_1,10173,Harlacher_Heinrich_1838__,,,,,,,,
10196_BINDUNG_1,10196,Hägi_Ernst_1884__,,,,,,,,
10204_BINDUNG_1,10204,Bürchler_Hermann_1878__,,,,,,,,
10208_BINDUNG_1,10208,Schmid_Konrad_1873__,,,,,,,,
